Employee_ID,Full_Name,Department,Joining_Date,Annual_Salary,Performance_Score,Remote_Work,Years_Experience
1001,Employee 1,Marketing,2020-01-05,97251.0,3.8,Yes,5.0
1002,Employee 2,Finance,2020-01-12,67662.0,2.5,No,3.0
1003,Employee 3,HR,2020-01-19,53392.0,4.7,Yes,12.0
1004,Employee 4,Finance,2020-01-26,75535.0,1.6,No,16.0
1005,Employee 5,Finance,2020-02-02,97256.0,2.4,No,19.0
1006,Employee 6,Engineering,2020-02-09,80222.0,1.5,No,5.0
1007,Employee 7,HR,2020-02-16,,,No,14.0
1008,Employee 8,HR,2020-02-23,55965.0,4.5,No,5.0
1009,Employee 9,HR,2020-03-01,69538.0,2.0,No,15.0
1010,Employee 10,Finance,2020-03-08,115592.0,3.6,Yes,17.0
1011,Employee 11,Marketing,2020-03-15,53110.0,4.3,Yes,14.0
1012,Employee 12,HR,2020-03-22,72266.0,3.2,Yes,5.0
1013,Employee 13,Finance,2020-03-29,97992.0,3.1,No,12.0
1014,Employee 14,Engineering,2020-04-05,51910.0,2.0,No,16.0
1015,Employee 15,Marketing,2020-04-12,45206.0,1.4,No,16.0
1016,Employee 16,Engineering,2020-04-19,68419.0,4.6,,7.0
1017,Employee 17,Marketing,2020-04-26,95636.0,4.6,Yes,4.0
1018,Employee 18,Finance,2020-05-03,95015.0,3.5,Yes,1.0
1019,Employee 19,Sales,2020-05-10,99268.0,2.4,No,5.0
1020,Employee 20,Marketing,2020-05-17,,,Yes,10.0
1021,Employee 21,Engineering,2020-05-24,116910.0,3.9,Yes,5.0
1022,Employee 22,Finance,2020-05-31,101044.0,4.6,No,4.0
1023,Employee 23,Marketing,2020-06-07,112214.0,4.5,Yes,2.0
1024,Employee 24,Sales,2020-06-14,78827.0,,No,10.0
1025,Employee 25,Sales,2020-06-21,100820.0,3.6,Yes,19.0
1026,Employee 26,HR,2020-06-28,107623.0,1.3,No,1.0
1027,Employee 27,HR,2020-07-05,67299.0,1.6,,
1028,Employee 28,Engineering,2020-07-12,88585.0,4.6,No,13.0
1029,Employee 29,Marketing,2020-07-19,109044.0,3.4,No,4.0
1030,Employee 30,Marketing,2020-07-26,87557.0,1.0,Yes,16.0
1031,Employee 31,HR,2020-08-02,94080.0,1.4,No,16.0
1032,Employee 32,Marketing,2020-08-09,47693.0,3.7,No,2.0
1033,Employee 33,Marketing,2020-08-16,114163.0,1.0,No,17.0
1034,Employee 34,Sales,2020-08-23,70939.0,1.6,Yes,12.0
1035,Employee 35,HR,2020-08-30,93925.0,3.2,No,18.0
1036,Employee 36,Finance,2020-09-06,87941.0,3.8,Yes,3.0
1037,Employee 37,HR,2020-09-13,66834.0,3.6,No,1.0
1038,Employee 38,Finance,2020-09-20,63047.0,1.9,Yes,1.0
1039,Employee 39,Sales,2020-09-27,71105.0,3.8,Yes,19.0
1040,Employee 40,Engineering,2020-10-04,60707.0,1.9,No,11.0
1041,Employee 41,Marketing,2020-10-11,66976.0,,Yes,5.0
1042,Employee 42,Sales,2020-10-18,89262.0,,No,12.0
1043,Employee 43,Marketing,2020-10-25,68776.0,3.6,,3.0
1044,Employee 44,,2020-11-01,75080.0,4.4,No,1.0
1045,Employee 45,Engineering,2020-11-08,111842.0,3.6,Yes,1.0
1046,Employee 46,Sales,2020-11-15,106373.0,3.3,Yes,8.0
1047,Employee 47,Engineering,2020-11-22,51776.0,1.4,No,10.0
1048,Employee 48,Finance,2020-11-29,,2.5,No,
1049,Employee 49,Engineering,2020-12-06,54474.0,2.1,Yes,12.0
1050,Employee 50,Marketing,2020-12-13,103053.0,2.0,No,13.0
1051,Employee 51,Marketing,2020-12-20,66959.0,4.9,No,12.0
1052,Employee 52,Marketing,2020-12-27,50530.0,2.6,No,14.0
1053,Employee 53,Marketing,2021-01-03,48748.0,4.6,Yes,2.0
1054,Employee 54,Finance,2021-01-10,58545.0,3.5,Yes,19.0
1055,Employee 55,HR,2021-01-17,111199.0,,Yes,18.0
1056,Employee 56,Sales,2021-01-24,79766.0,3.0,No,3.0
1057,Employee 57,Marketing,2021-01-31,118530.0,3.3,No,17.0
1058,Employee 58,Engineering,2021-02-07,106087.0,3.0,No,8.0
